No.,チャンネル名,所属,登録者数,最終投稿日,ゲーム動画率,日本語率,主なジャンル,自動判定,あなたの判定,チャンネルURL,直近タイトル例
2049,るわらんch.,,1210,2026-08-26,0.5,1.0,,残す,,https://www.youtube.com/channel/UChrmQpzSJqxX4B-H2HQ3h9w,【Milthm】可愛い女の子がいっぱい！？メインストーリー第2章を遊ぶ配信#2
2050,れいまり,,1210,2026-08-23,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCbp6GRtdWgLQ1Ji1ne8fiqg,あの動画の結果発表をします。
2051,ニューゲーム,,1210,2026-08-29,0.71,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UCJoN_MKzSwg3caHlnGzxFhA,大流行中の雪山を彷徨う遭難者になるホラーゲーム『雪葬』が怖い
2052,冥界ユキ,,1210,2026-09-03,0.18,1.0,,残す,,https://www.youtube.com/channel/UCklvDGuVWXRIl3ZnrEfOeYA,【＃NTE】ソシャゲ初心者、初めての天井....！？残虹ガチャひく.ᐟ.ᐟ【新人Vtuber/冥界ユキ】
2053,y-r_t-r,,1190,2026-08-25,0.55,1.0,シューター,残す,,https://www.youtube.com/channel/UCigZIhcinQQjnO0-PVo4nEw,【みんなのGOLF WORLD】元全１経験者による攻略配信 Steam版 season2 UI変わってからは初です
2054,teamCBK 【太鼓の達人】,,1190,2026-09-05,0.19,0.75,アドベンチャー,残す,,https://www.youtube.com/channel/UCWfOCVYfZrgtGbGsX01Ws3A,暇なのでおうち太鼓シバキます
2055,スライム@全力VTuber,,1190,2026-08-31,0.94,1.0,,残す,,https://www.youtube.com/channel/UCtudhsKXfI304ENEN_O_NAg,【スト6】アルマス行っておじスパーに挑戦や！「頂」を目指すスト6アルマスC春麗part 239 #スト6
2056,ロッキー先生,,1190,2026-09-06,1.0,1.0,レース,残す,,https://www.youtube.com/channel/UCoz-ocp9YZX8uZdGv0N3UgA,完#２２【ドラゴンクエストVIII 空と海と大地と呪われし姫君】※ネタバレあります　！クリア目指してやるぞ！#レトロゲー
2057,らんぱーどちゃんねる,,1190,2026-09-06,0.85,1.0,,残す,,https://www.youtube.com/channel/UC2YRRrNAdbnJrRF3peSpLNQ,【スト6】　マノン　ランクマ配信
2058,おおかみガブ,,1180,2026-08-29,0.5,1.0,ストラテジー,残す,,https://www.youtube.com/channel/UCmBy6ysc05KouyDyfXr07sA,心が落ち着く和風お弁当作り――クッキングパズルゲーム『#インベントウ／#inbento』#2
2059,ミロ,,1180,2026-08-31,0.27,1.0,格闘,残す,,https://www.youtube.com/channel/UCchLqg2_hwVQoZkNhTDc8EQ,【妖怪ウォッチ2 真打】クリア後も遊んでく！懐かしすぎる神ゲーを思い出しながら自由に楽しく遊ぶ！#妖怪ウォッチ #妖怪ウ
2060,めぇえめぇ,,1170,2026-08-28,1.0,1.0,RPG,残す,,https://www.youtube.com/channel/UCrBQaWGEu6nA_AvqExCDdnw,あ～、、、こりゃ、あいつ今日も配信やすむぞ！？と思ったでしょ【#スト6 #ランクマ】
2061,モチョザウルスモドキ,,1170,2026-09-09,0.5,1.0,,残す,,https://www.youtube.com/channel/UCZ03mLdzOsOyn5rSdHgm_Mg,【初見リクエストok】収益化もゆめじゃなくなってきた。
2062,ころもろGames,,1160,2026-08-29,0.33,1.0,,残す,,https://www.youtube.com/channel/UCU-sdCXoxUXzetOg8W0udnA,【無言配信】マイクラ統合版のhiveをやる
2063,龍馬うたよる,,1160,2026-08-28,0.05,1.0,,残す,,https://www.youtube.com/channel/UCDOsob5flEByUxjABuTYWDA,【#棋桜】ガチャ引くぞ！　大当たりは公式マーク将棋配信！
2064,あお,,1160,2026-08-28,0.45,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCFqhc0Y6DASw1k8eDasb-0w,あおの暇つぶし配信
2065,ぽんちょ,,1160,2026-09-06,1.0,1.0,RPG,残す,,https://www.youtube.com/channel/UCnteHDTfbEuUohoYMi1DFpQ,【ホロライブドリームス】　初見ホロドリでホロライブ入門！！！推しを見つける！！！！！
2066,ゆなっこ,,1150,2026-08-25,0.3,0.75,RPG,残す,,https://www.youtube.com/channel/UCwOjWOhoBOJDJr3u1eyhwEw,はじめての鉄拳、操作を学ぶ
2067,さくまだよ,,1150,2026-08-30,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCTD3QncSYP4Lmlsg6wBs0BA,
2068,なみゅ,,1150,2026-09-06,0.3,1.0,格闘,残す,,https://www.youtube.com/channel/UCacweHce9BRTqUrvY-yDL3w,【SDVX】Electronic Sports ComplexをUCしたい！19最弱って本当？│˶˙ᵕ˙˶)꜆□▷
2069,Yuu Tube🌈🕑,,1140,2026-08-09,0.32,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UCdnkYmf8XjhxrpO5mbBjjDQ,「事故物件監視協会３」をプレイ【鼓膜注意】
2070,Avaritia ,,1140,2026-08-25,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UC3j4FFHwG7Npey-fveMHO7w,世界３の新ステージ14をクリアしてみた【ロブロックス｜+1 Speed Keyboard Escape】
2071,マスターの日常！,,1140,2026-08-30,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCg8GN6A6vr-kEMr972QJd6Q,[ゲーム配信]　バイオハザード　第２回　ジル編
2072,saoriの癒し系ゲームチャンネル,,1140,2026-09-06,0.7,1.0,RPG,残す,,https://www.youtube.com/channel/UCx7as08JHghjdE5MqZn733g,【Dinkum】古い鍵１００本持ってリーフ島へ🌞【Switch実況】
2073,ドラへもんch,,1130,2026-08-27,0.31,1.0,シューター,残す,,https://www.youtube.com/channel/UCA0NuUKEfUz41oXX_vxhJdA,【リベンジマッチ】わんこ杯で負けたるるさんと50先をする
2074,by,,1130,2026-08-26,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCtZ8KxUxfBfm-JjLHbEDjxw,
2075,カミネコメイツ,,1130,2026-09-03,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UC6ciN5s-zx7ygCJ3VS6bFBg,透明な夜に駆ける君と、目に見えない恋をした。9話皆で観る
2076,雲丹間 にう / unima niu,,1130,2026-09-06,0.32,1.0,アクション（横スクロール）,残す,,https://www.youtube.com/channel/UC9S4qIxlhTVw-9lBX-P2muw,"【Super Bunny Man】協力プレイ🎶うにたおの""絆""見せつけてやる🔥✨【コラボ配信】"
2077,陽 雛野 / Hinata Hinano,,1130,2026-09-06,0.2,1.0,,残す,,https://www.youtube.com/channel/UCCYUmPQ3i_ieGw4ceKagvPg,【あんスタ!!】苦手な曲の練習回！スペライ曲の予習もする！！【Vtuber／陽雛野】
2078,コバCみんゴル&どうぶつマフィアちゃんねる,,1120,2026-08-27,0.89,1.0,,残す,,https://www.youtube.com/channel/UCY_hqBC87IbVb0cc9SuslYg,【みんゴル】コバCの🐊が進化した！ドリームギアガチャの価値は上がったのか！？#みんゴル#ガチャ #クロコダイル #バイオ
2079,くものち ふれすch.☁️🫧,,1120,2026-09-07,0.19,1.0,パズル,残す,,https://www.youtube.com/channel/UC0IqPfTx9JfR8tWYaQLC4MQ,☁すき間に進めるけものティータイム☁ #vtuber #ゲーム実況
2080,焼肉ちゃんちゃんねる。,,1110,2026-09-05,0.31,1.0,,残す,,https://www.youtube.com/channel/UC7pAAdyj5xAHcqwfQVD9IJg,【お絵描き】ウマ娘全員描きます４５【部位Tuber焼肉ちゃん】
2081,Aiword / アイワード,,1100,2026-08-28,0.5,1.0,シューター,残す,,https://www.youtube.com/channel/UCktdX5uEc24StYnKYRry72w,【ストグラFV_CASUAL ストグラFVC】　Day65　遂に拠点を買うぞ！！
2082,黒ギャル将棋Vtuber💫御剣マリア,,1100,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCnkISnjqIAT6C1gt7HIx_SQ,全国の将棋指しと出会いたい(お昼配信）
2083,Vtuberグループ D--rr vision,,1100,2026-09-04,0.6,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UC2JLQDs6bXHevsycG7aaSxg,【NG】初見実況プレイ７回目 - この先、キケン【ネタバレ注意】新たな怪異へ！
2084,横入れシャッフル同盟,,1080,2026-08-22,0.25,1.0,シューター,残す,,https://www.youtube.com/channel/UC12V4gFpzlEtqGft8dTsJGA,【ガチ対戦】GD05環境：青緑ロンドベル VS 赤緑学園【ガンダムカードゲームGCG対戦動画】BG LONDO BELL
2085,儚視まちこVTuber Hakanashi Matiko,,1080,2026-08-30,0.74,1.0,シューター,残す,,https://www.youtube.com/channel/UCEwSaoB_Rsoi70klMwk3bJw,【#apex】スクリムなう【#初見さん大歓迎】#新人vtuber #ゲーム実況 #vtuber
2086,カイのゲーム部屋,,1070,2026-08-28,0.38,1.0,,残す,,https://www.youtube.com/channel/UC53QETRx9r3d0HJ8F7BDnxw,【スト6】　スト６！　リハビリ！　ケン
2087,ホロの倉庫【ホロライブ切り抜き】,,1060,2026-08-28,0.0,0.0,,外す（切り抜き）,,https://www.youtube.com/channel/UCw8y6vbUEyz-NhO81J9Y75Q,
2088,黒魔導士ちたチャン📜🦋Titania Walpurgis【ノラプロ】,,1060,2026-08-29,0.83,1.0,RPG,残す,,https://www.youtube.com/channel/UCfF7SQyB4XYaKvG8fjwVVwg,【実況】魔法少女ノ魔女裁判／まのさば【ネタバレ注意】#19
2089,見留ふぃーゆ / Mitodome Fiyu,,1060,2026-09-02,0.12,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UC7KGdlkchzk_qtOb-dMMONQ,【朝歌枠】初見さん大歓迎！朝から癒しのお歌♪【見留ふぃーゆ/#vsinger 】
2090,エラch,,1050,2026-08-28,0.9,1.0,,残す,,https://www.youtube.com/channel/UCq1F5rKna2GghH03a9tNpkw,【カラオケ】　エラchの初(?)歌配信　 #歌枠
2091,ぴっこ,,1050,2026-08-24,1.0,1.0,,残す,,https://www.youtube.com/channel/UCAt3LimZeps3lfW63DXRhhg,3000↑てとぼ　もう八月終わりそうってマジすか【ぷよぷよテトリス2】
2092,古竜むん,,1050,2026-08-27,0.55,1.0,シミュレーション,残す,,https://www.youtube.com/channel/UCDkOH4Rc5k_d9i22zZ7j6jA,【マイクラ】別荘建設計画始動中…！！！
2093,八樹めいら / Yatuki Meira,,1050,2026-08-27,0.88,1.0,,残す,,https://www.youtube.com/channel/UCXxtNPi1mwUMOT5vJVz5vTQ,【マイクラ】スキル＆銃PVP『XCAPE-ISTONE』スキル解説～総集編～　#minecraft  #マイクラ #総集
2094,アライグマ / ARAIGUMA  ,,1050,2026-08-29,0.9,1.0,,残す,,https://www.youtube.com/channel/UCnqUnUvo5LG9jJvwGFTZN2A,【マイクラ】ダイヤを求めて洞窟探索！果たして見つかるのか！？【ゆっくり実況】
2095,どいなりさんくらぶ,,1050,2026-08-30,0.75,1.0,RPG,残す,,https://www.youtube.com/channel/UCEzxPa58PiPMhv8xIhAWmSg,【ウイポ2021】エミリー世代は翌年も走れるのか
2096,グラウンド ヘアカット　ground hair cut,,1030,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCnkHGl3ea-BKf2AAvrdDw2A,政治権力批判デモを楽しくするギターのお稽古に付き合ってください#９ guitar 弾き語り
2097,チャーハン君の【切り抜き】,,1030,2026-08-21,0.0,1.0,,外す（切り抜き）,,https://www.youtube.com/channel/UChP1ceNZH3PnFvr_3uRJW8w,周年配信の事故で見せたマリン船長の神対応は...
2098,たいちくんop,,1030,2026-08-28,0.78,1.0,,残す,,https://www.youtube.com/channel/UCMRiOGT_sr8L2wb7EGToKnQ,オルゴデミーラのせいで世界滅亡一歩手前じゃん
2099,ひざ,,1030,2026-08-28,1.0,1.0,,残す,,https://www.youtube.com/channel/UCvZmKTR9ceBMLGdTcGnrVaQ,鉄拳8  Jack-8 最高段位【破壊神肆】 No.561 #鉄拳8 #ライブ配信
2100,しゃいん,,1030,2026-08-16,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCXCKN8VmFB6YTG8IYyXPIMg,【ぽこあポケモン】ブクブクうみぞこの街づくり 神殿に流行りの出窓を建築してプチ改修
2101,しょ,,1030,2026-08-27,1.0,1.0,,残す,,https://www.youtube.com/channel/UC52JkDcw3_iiNeTZXToK_4g,【太鼓の達人】ダンガンノーツ(裏)全良
2102,スキダチ・コアゲーミング,,1030,2026-09-03,0.79,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCDbnPkr4B8c8JuEqK52f1jw,【ソウルライク】ラスボスの猛攻、パリィで全部返してやる【DINOBLADE】【Part6完】
2103,ホロライブ切り抜き【めめめ】,,1020,2026-08-27,0.0,0.0,,外す（切り抜き）,,https://www.youtube.com/channel/UCnfqByyY4A2nyA0hc4egtJg,
2104,げそ (geso1-1),,1020,2026-08-28,0.79,1.0,,残す,,https://www.youtube.com/channel/UC8yXzlK84I8avjVYpJEzUcQ,【マイクラ 建築夏休み企画】～18日目～　始まりの町モンドの再現建築【マインクラフト】
2105,A-YU BgM あーゆ,,1020,2026-08-29,1.0,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UC_UQwmLudm4bmjbspoXhGRw,【24時間回す 後編】この世界の真実に…震えろ｜Clair Obscur: Expedition 33（クレール・オブス
2106,はちななch,,1010,2026-08-27,0.2,1.0,RPG,残す,,https://www.youtube.com/channel/UCYkLu5rtfC-ZL-XiAVKZl6Q,【ぽこあポケモン】さすがに建築します。#24【猫転はちなな】
2107,うんちひらいぎんじ,,1000,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCrqozonKN_uGy8ittKCMTtg,きりふだ、強キャラ縛りでクリアできるか？【半熟英雄/SFC】
2108,あわり_Endfieldプレイ中,,1000,2026-09-02,0.0,0.0,,要確認（長尺動画なし）,,https://www.youtube.com/channel/UCrriO9TM55-HWzb8cuMB8ww,
2109,LoLの学び場,,997,2026-09-02,0.0,0.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCrv-E9EbpAw28o_bAoYx3eA,
2110,Yukime ch.弐識　雪雨,,997,2026-08-30,0.94,1.0,ストラテジー,外す（登録者が少ない）,,https://www.youtube.com/channel/UC5GoIHhgBua6C5g3OZ0kfLQ,【#PSO2NGS 】朝活★ニチアサ☆納涼祭 ～NGS夏フェス2026～【#Vtuber /#Yukiキャス 】
2111,1218いせぽ,,993,2026-08-22,1.0,1.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCHFEVdhYVx5qvlQA-iKp0ag,鉄拳8 ポール 393 コメント質問歓迎
2112,権五郎丸 ちゃんねる,,992,2026-08-29,0.92,1.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCdmKKbexLczffD9kobRdL0g,【モンスト】参加型配信！神獣周回中！よかったら参加のほどよろしくお願いします！
2113,ミドゴリ園長,,991,2026-08-29,1.0,1.0,シューター,外す（登録者が少ない）,,https://www.youtube.com/channel/UCNfz7c3s7f17a9xmecYjKTQ,【APEX LIVE】上手くなくても楽しけりゃOK🤣 今日も戦場へ行ってきます！
2114,ユマ ゲームch,,984,2026-08-30,0.5,1.0,RPG,外す（登録者が少ない）,,https://www.youtube.com/channel/UCb1fF79IxqwdCaNigt7r2MQ,[テイルズオブベルセリア リマスター] 通常プレイ#45 (本編クリア後②)　天の階梯を攻略する… 第六の間まで攻略完了
2115,あいぼん!,,982,2026-08-28,1.0,1.0,ストラテジー,外す（登録者が少ない）,,https://www.youtube.com/channel/UCjY0_mTH0vZk6jpLZfJ7bBg,【DBD】新キラージャッジメントやキラーメイン！サバやっていくよー🙌【デッドバイデイライト】
2116,茜音こた【麻雀プロVtuber】,,982,2026-08-30,0.8,1.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCHaLeaawAjsEU8tcZdnfzqA,【麻雀】まずは原点復帰へ！魂天目指してプロ2年生の段位戦！【雀魂】雀聖2-
2117,みやびぃ【バーチャルゲーム実況者】,,979,2026-08-28,0.47,1.0,アドベンチャー,外す（登録者が少ない）,,https://www.youtube.com/channel/UCLWlKK0Sf0iyYLkfFe7wPxA,【新クトゥルフ神話TRPG】心蝕のパラノイア 第一話  #黒鮫ダディダディ
2118,牙神 大牙.kibagamitaiga,,974,2026-08-28,0.74,1.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCUqB6QPe275RO9ygVCN-D6w,【燃えろ！ジャスティス学園】牙神大牙の令和に挑戦！名作レトロ格ゲー ジャス学やるよ【初見さん大歓迎】 #ジャスティス学園
2119,くんたま,,974,2026-08-28,1.0,0.9,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCcTo8RS-SEV09v-xzr1eM2w,【鉄拳8 S3】息抜き２P練習【みんないつもありがとう！】
2120,オレオレオレオ,,969,2026-08-29,0.19,1.0,パズル,外す（登録者が少ない）,,https://www.youtube.com/channel/UCVNMtEIs1xeqehYqROsZLOQ,宇宙人撮影アドベンチャー『UFO -A day in the life-』実況プレイpart7
2121,瀬名いずみ / Sena Izumi,,963,2026-09-02,1.0,1.0,RPG,外す（登録者が少ない）,,https://www.youtube.com/channel/UCEemjb27F2uxUvltfFJ9edQ,【Pokémon LEGENDS Z-A】色違い厳選！9日のチャンピオンズに向けて厳選するぞ！【Vtuber】
2122,mogすけちゃんネル,,962,2026-08-28,1.0,1.0,シミュレーション,外す（登録者が少ない）,,https://www.youtube.com/channel/UCwIacsQ5JdOlALJy3XpSYWg,【#参加型】少しだけでも遊ばせて🎮【#初見さん大歓迎】【fortnite/フォートナイト】【ゼロビルド】#フォートナイト
2123,ONO将棋　登録者1000人目標,,955,2026-09-01,0.0,0.91,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCRlcUtbJ6-EyjIMxuFPNXnw,将棋ウォーズ配信者新星戦に向け素猫さんと特訓！！！【#将棋 】#将棋ウォーズ
2124,かくし,,950,2026-09-01,0.92,1.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCjCC5twR6A4Pb3RkT4AFGfw,hive参加型配信‼みんなで楽しく雑談しながらhiveやりましょう！#マイクラ #マインクラフト #minecraft 
2125,チキチキ,,945,2026-08-28,0.18,1.0,シューター,外す（登録者が少ない）,,https://www.youtube.com/channel/UCiv5V9kZLQxFyU66D2aI2fA,幻禍再臨4【ファンパレ】無課金歴7ヵ月総力戦に挑む!!【呪術廻戦ファントムパレード】
2126,ぜんな【大人がニコニコできるシミュレーションゲーム実況チャンネル】,,937,2026-08-26,0.88,1.0,シミュレーション,外す（登録者が少ない）,,https://www.youtube.com/channel/UCHmDVx5YqSUCAXfKUitCHuA,【雲暮らしの民】新作2D町づくりゲームで癒されよう【Cloud Dwellers】実況
2127,座椅子がボロくて腰が痛い,,932,2026-09-08,0.0,0.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCIVjZyQndHsegS0Myw_6MMA,
2128,みりのポンコツゲーム実況,,932,2026-09-03,0.65,1.0,RPG,外す（登録者が少ない）,,https://www.youtube.com/channel/UClV_a85b5gJlPZV66UR7rmQ,#75【FFT】ポンコツ女が FINAL FANTASY TACTICS を初見プレイ
2129,はこやし,,919,2026-08-21,0.56,1.0,アドベンチャー,外す（登録者が少ない）,,https://www.youtube.com/channel/UCA3LTBsJ3jeWS0HcDOXZpRw,実在する心霊トンネルが舞台のリアルすぎるホラーゲーム【犬鳴トンネル-Inunaki Tunnel】
2130,Hatogame,,912,2026-08-24,1.0,1.0,シューター,外す（登録者が少ない）,,https://www.youtube.com/channel/UCNc-TDN5qf7DxK0mKnWqbzQ,【マイクラダンジョンズⅡ】アーティファクトについて調べてみた。
2131,ナスタさんのお部屋,,910,2026-09-06,1.0,1.0,シューター,外す（登録者が少ない）,,https://www.youtube.com/channel/UCnFOMQG9DiX9_dP8fE5x5EA,【雑談配信】ゼンゼロを話しながらやる
2132,ハイネのGCGちゃんねる,,907,2026-09-04,0.0,0.9,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCcAIZwCI9F98y18ZJqUK54w,ヴ　ァ　ル　チ　ャ　ー　の　夜　明　け　ぜ　よ
2133,蒼居のゲーム部屋,,902,2026-09-04,1.0,1.0,アドベンチャー,外す（登録者が少ない）,,https://www.youtube.com/channel/UCD3eLHBey6nmOUg3THw_mYQ,7☆【参加型】４代目になっちゃった蒼居の【Don't Starve Together】ドントスターブトゥギャザー
2134,Syuno Ch🐏🧶夜守愛しゅの,,899,2026-08-29,0.58,1.0,アドベンチャー,外す（登録者が少ない）,,https://www.youtube.com/channel/UCeCsPUy_x27rwfOkypPvPDA,【 7 Days to Die / 視聴者参加型 】V3.0になってもぬる設定でゆるく遊ぶぞ！！！33日目から！！！！！
2135,えびのしっぽ_ch,,897,2026-09-09,0.3,1.0,シューター,外す（登録者が少ない）,,https://www.youtube.com/channel/UCDbMh2-KprWQAtAJlvzVbbQ,まだ猫は逃げますか?ホラーゲーム初見プレイするよ✨ #ライブ配信  #女実況  #ゲーマー女子 #PCゲーム #まだ猫は
2136,颯夏 『りっか』と申します,,892,2026-09-01,0.17,1.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCpOaS_onCtD5F5vPF4BipbQ,【#ライザのアトリエ 】早くも覚えること多くて頭パーだけどしがみつくぞおぉお！！！！
2137,まなびの広場　レゴ教室作品アーカイブ,,891,2026-09-03,1.0,1.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCA4u-CTPJUUgqetheOIBFKQ,らーなろっそさんの動画を見ながら　マイクラ建築訓練！　前編
2138,Koharu ch. 狐晴,,886,2026-08-28,0.8,1.0,レース,外す（登録者が少ない）,,https://www.youtube.com/channel/UC6O8k3qYIj2giHPN69rSJmw,【Faaast Penguin】海の新シーズンがきたファーストペンギン参加型配信！【Vtuber/狐晴】
2139,がちぽこゲームズ　Gagipoko Games,,882,2026-09-04,0.0,1.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UC5-nl9_Hv4V05B6zlxjQxGg,【イーフト】レート1400から追い上げる＃イーフト
2140,ReeceTPL,,875,2026-08-27,0.91,0.0,アドベンチャー,外す（登録者が少ない）,,https://www.youtube.com/channel/UCd9y7Fc1PvWInJHRJPtcIHQ,We Tried Surviving 7 Days in HumanitZ’s Deadliest Spawn
2141,雪明みてん@道産子Vtuber,,875,2026-08-27,0.22,1.0,RPG,外す（登録者が少ない）,,https://www.youtube.com/channel/UCPMbyTlim27DvJtsa3kJHTQ,《ライブイベント告知》2026.9.25 PROJECT ALVIZIA　Blooming Parade【 #雪明みてん
2142,しどぉ,,874,2026-09-09,0.92,1.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCKyOR_HzSE6mDPketXQTIRA,（顔出し）twitch同時配信！ガチ芋3目指す配信【VALORANT/ヴァロラント】
2143,ろらんch.,,868,2026-08-27,1.0,1.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCfZoZ4V-fnPUG-UzSCNIJfg,【スト6】【参加型】「54歳おじさんが頑張る！！深夜のランクマ＆カスタム参加型！！対戦よろしくお願いします！！初見歓迎 
2144,ねこすきのお部屋,,866,2026-09-04,1.0,1.0,ストラテジー,外す（登録者が少ない）,,https://www.youtube.com/channel/UC5yFWG2ES2nVWEtFKRnOu2g,無課金で魔界編クリア目指すpart1【にゃんこ大戦争】
2145,セーガー村　tokitora Games,,862,2026-08-27,0.5,1.0,ストラテジー,外す（登録者が少ない）,,https://www.youtube.com/channel/UCYIs6HKuYhi0T44MWOlMt-w,雪葬　その４クリア！　怖くなりそう
2146,ロガー,,857,2026-08-23,0.05,1.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCIGz_6QfQ-UPLRksZqg2Wdg,【将棋】『予約制友対』 本日は19時開始です(・ω・) 3時間ほど長めにやります
2147,ゆっくりkitune,,855,2026-09-05,0.95,1.0,シミュレーション,外す（登録者が少ない）,,https://www.youtube.com/channel/UCLJ841TV3l2nZ6CtSzpoIMQ,高速線の開業で鉄道に転換期が！【Transport Fever 2】未開の地に交通革命を #20
2148,灯翠 巳影 / Hisui Mikage,,855,2026-08-29,0.45,1.0,ストラテジー,外す（登録者が少ない）,,https://www.youtube.com/channel/UC2is1Z-w1P7o5FRcEvrLFlQ,【#雑談 】夏休み振り返り雑談！！【#新人vtuber 】
2149,菜々瀬りん / Nanase Rin,,853,2026-08-26,0.37,1.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCmwIRKa_9qjkZGvkh7ImRZg,【ゼルダの伝説 ブレス オブ ザ ワイルド】#43 祠コンプを目指してハイラル探索┊クリア後の世界でまったり探索┊シリー
2150,ゆきのののじ / Yknnnj,,853,2026-08-30,0.9,0.95,シューター,外す（登録者が少ない）,,https://www.youtube.com/channel/UCtg6gNLE4RMbJWh-FqKSQLg,【パルワールド】マイティー蛮族他化自在天征伐運動【Palworld】[Vtuberゲーム実況]
2151,ベアのすがたチャンネル　くまお,実況者,849,2026-08-01,0.0,1.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCdcYHPZuHHJM_PdQpFOkOuw,【引越し準備】焦らない・無駄なお金を使わない！一人暮らしから同棲へ向けた引越しスケジュール、やってよかったこと！
2152,ひかりの満開Ch 咲良光桜〜Sakura Hikari〜【ノラプロ】,,847,2026-08-27,0.71,1.0,アドベンチャー,外す（登録者が少ない）,,https://www.youtube.com/channel/UC6f8dVYUMZa2yxbJf-tPVBw,【Poppy Playtime3#２】アクションと謎解きと・・恐怖を乗り越えろ！！【初見プレイ/ネタバレあり】
2153,宇宙大統領ちひろちゃん,,843,2026-08-28,0.25,1.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCPk8I_Qo9bzzcykFUuHa4Yw,【参加型大喜利】コスモを貯めて段位をあげろ！小宇宙大喜利ちひろちゃん【 初見歓迎 】♯23 #vtuber
2154,KenKazu【スマブラ】,,837,2026-09-08,0.0,0.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCskoMOctrUJu0T1S7GW2Jrw,
2155,くじげーむ,,837,2026-09-07,0.65,1.0,アドベンチャー,外す（登録者が少ない）,,https://www.youtube.com/channel/UC3ojFVD5-Y7kM5OtgF31Ztw,【02】ミカクテイ事件の観測者 ・初見プレイその２・SNSから情報を得よ！　～Vtuberゲーム実況・事件謎解き・ネタバ
2156,桃宮めあ,,829,2026-08-28,0.31,1.0,シミュレーション,外す（登録者が少ない）,,https://www.youtube.com/channel/UCJKQIYH3zwl5H0Wk2ERxlgA,【オウムで一攫千金】オウムになったら何しても許される
2157,緋綺月ルキ / 異変探しに熱心な新人Vtuber,,829,2026-09-09,0.61,1.0,シミュレーション,外す（登録者が少ない）,,https://www.youtube.com/channel/UCdreKtEmrzMSt8FyKoUIbZA,霊障より細かい異変の方が私には効く。【霊室】
2158,ちょきちょきめくぱーく,,827,2026-08-26,0.0,0.0,,外す（登録者が少ない）,,https://www.youtube.com/channel/UCxrEq23cBQSmEjsz16d9Tzg,
2159,月は出ているか,,827,2026-08-26,0.05,1.0,レース,外す（登録者が少ない）,,https://www.youtube.com/channel/UCZYR9djSsEaJOSLIU5rV65g,【最新環境】青緑が89回優勝。全優勝の75％が青入りでした【Gundam Card Game】 Freedom Asce
2160,普通のにゃんこ民,,824,2026-09-01,1.0,1.0,ストラテジー,外す（登録者が少ない）,,https://www.youtube.com/channel/UCoTteaAaNzEWSDsDhBKHP6A,今までのカオス編集総集編Part1！これからもあげるよ！#にゃんこ大戦争#カオス#にゃんこ大戦争カオス#にゃんこ大戦争総
2161,たい焼き,,816,2026-08-27,1.0,1.0,RPG,外す（登録者が少ない）,,https://www.youtube.com/channel/UCO46inCJjssSOSU2abawiTA,ベルヴェスOTPが使っている新ビルドが気持ち良すぎる【League of Legends】
